FFQ	11	0	0	3	0	0	2	6	3	199	1	922	278	4	3	3	41	454	1519	690	593	12	206	105	470	898	3784	1582	6902	432	2448	5549	7226	11629	16026	12278	9989	34421	28378	79799	58404	169668	537243	0
FFQ	12	0	0	0	0	0	1	7	4	184	14	934	234	12	3	5	40	465	1579	664	578	13	189	118	504	903	3839	1631	7087	451	2443	5764	7369	11644	16219	11985	10239	34948	28697	80458	58732	172256	531953	0
FFQ	13	0	0	0	0	0	4	7	3	199	8	918	289	13	3	4	61	480	1497	719	595	18	219	102	534	976	3851	1644	7134	467	2470	5838	7651	11527	16462	12242	10655	35122	28918	81891	58427	175038	526172	0
FFQ	14	0	0	0	0	0	4	4	4	223	19	1020	273	18	5	9	64	532	1574	801	605	19	243	152	584	1058	3860	1785	7220	497	2711	5900	7567	11664	16952	12298	10896	35409	29045	82835	59171	177930	519205	0
FFQ	15	0	0	0	0	0	4	14	13	225	33	985	285	7	8	9	67	524	1572	731	672	20	246	150	593	1169	3907	1721	7311	505	2713	6170	7466	11907	17080	12560	11124	35683	29844	83906	60014	179793	513114	0
FFQ	16	0	0	0	0	0	4	10	11	232	28	1114	279	20	4	5	95	514	150	2318	689	28	250	149	642	1261	3768	1812	7204	567	2826	6340	7789	12024	10800	19363	11374	29952	30629	70127	70670	188551	510539	0
FFQ	17	0	0	0	0	0	5	12	10	279	57	1047	306	14	14	16	112	506	212	2243	713	31	259	160	727	1435	3963	1835	7409	554	2854	6523	8159	11702	11088	19390	11986	30621	31260	71468	72288	191427	501440	0
FFQ	18	0	0	0	0	0	1	8	21	275	77	1093	295	22	15	12	129	591	268	2162	778	34	297	183	722	1573	3925	1938	7556	598	2932	6872	8173	11763	11218	19693	12438	31407	31509	73008	75420	193148	491959	0
FFQ	19	0	0	0	0	0	7	24	17	321	89	1150	316	18	15	22	170	627	337	2190	759	34	336	195	908	1819	3829	1962	7458	594	3047	7111	8112	11830	11390	20042	13249	31709	32247	74857	77438	195362	482493	0
FFQ	20	0	0	0	0	0	9	23	30	340	158	1125	312	24	20	28	205	654	433	2092	775	47	335	181	985	2069	3710	2020	7298	634	3170	7522	8230	11877	11593	20647	13500	32241	32734	77401	80082	197687	471876	0
FFQ	21	0	0	0	0	0	5	21	18	279	126	830	169	14	15	12	206	612	471	1577	556	51	352	180	885	1896	3175	1682	6341	530	2477	7321	7323	10745	10864	18701	13438	28248	32740	67683	84119	166069	522303	0
FFQ	22	0	0	0	0	0	5	15	24	348	160	770	164	25	10	21	267	650	581	1539	606	53	347	183	1000	2138	3108	1773	6237	555	2569	7896	7499	10143	10907	18149	13865	28451	31031	68099	78127	161971	532691	0
FFQ	23	0	0	0	0	0	7	25	49	536	299	1164	243	27	32	33	303	781	712	1383	610	46	357	203	1090	2410	2861	1777	5850	600	2533	8024	7466	9905	11243	17878	14431	28117	30588	67710	75017	162602	534998	0
FFQ	24	0	0	0	0	0	6	40	60	586	376	1132	185	35	33	41	328	908	856	1269	633	65	373	210	1146	2632	2836	1725	5795	598	2593	8673	7260	9372	11077	17807	15301	27765	30255	68154	72805	164149	534755	0
FFQ	25	0	0	0	0	0	5	39	62	678	524	1085	158	40	44	48	412	1016	943	1241	691	88	435	238	1234	3173	2922	1842	5763	668	2590	9282	7358	9050	11440	17980	16178	27909	30076	68709	70616	166607	530604	0
FFQ	26	0	0	0	0	0	4	36	76	748	639	961	115	55	60	41	437	1235	1058	1039	637	95	479	252	1211	3280	2993	1862	5348	708	2468	9784	7568	8738	11642	17658	17628	27509	30770	69905	69430	168952	526252	0
FFQ	27	0	0	0	0	0	9	39	85	736	715	856	58	54	62	53	493	1300	941	982	686	104	461	274	1281	3493	3144	1867	5063	743	2612	10645	7506	8237	12033	17239	18298	27421	30361	71423	68673	170725	522935	0
FFQ	28	0	0	0	0	0	13	52	113	851	860	731	34	62	88	70	555	1402	813	806	691	110	522	263	1282	3715	3163	1909	4833	848	2598	11305	7640	7623	12250	17484	19461	27214	30708	73074	67118	172444	518827	0
FFQ	29	0	0	0	0	0	9	69	119	934	1001	545	21	58	99	87	653	1522	654	875	698	144	565	313	1293	3843	3351	2129	4502	911	2657	11930	7821	6945	12707	17341	21006	27090	31183	74518	65483	173287	515082	0
FFQ	30	0	0	0	0	0	7	69	120	966	1192	427	29	71	93	82	766	1663	503	895	712	131	604	362	1336	3860	3512	2186	4290	975	2806	12489	7926	6566	13113	17073	22593	26855	31505	76007	64715	174321	510541	0
FFQ	31	0	0	0	0	0	10	75	179	966	1316	317	21	81	111	108	897	1621	337	869	734	155	678	390	1390	3783	3822	2240	4171	1052	2844	12931	8104	6256	13533	16964	23846	26129	31917	77529	63066	175181	507634	0
FFQ	32	0	0	0	0	0	14	103	215	1021	1393	220	34	82	137	121	949	1700	301	881	800	190	671	423	1487	4014	3806	2287	3833	1151	2939	13543	8361	5909	14269	16893	25663	25329	32529	78575	62788	175109	503429	0
FFQ	33	0	0	16	0	0	14	108	188	951	1398	116	41	102	140	120	1040	1741	210	904	726	218	751	440	1500	4054	4035	2369	3795	1315	2966	13551	8408	5717	14931	16610	27726	24425	33115	79375	61883	175884	500182	0
FFQ	34	0	0	0	0	0	23	131	237	1041	1686	66	33	93	154	178	1133	1614	185	936	827	236	801	558	1632	4123	3845	2473	3812	1421	3110	14024	8623	5575	15526	16490	29429	24048	33527	80540	61775	176856	494204	0
FFQ	35	0	0	0	0	0	19	101	284	1025	1661	43	45	124	183	196	1301	1534	151	923	830	258	853	525	1647	4099	3900	2622	3653	1548	3114	13954	8759	5779	16208	16212	31056	23428	34380	81177	62263	176913	490077	0
FFQ	36	0	0	0	0	0	26	143	333	1061	1643	26	36	150	206	206	1387	1383	150	919	825	263	822	599	1725	4363	3819	2714	3701	1777	3210	13950	8918	6073	17101	16256	32821	22829	34651	78038	66214	178093	484297	0
FFQ	37	0	0	0	0	0	16	152	344	990	1674	25	45	183	248	242	1397	1202	170	961	750	320	862	644	1884	4360	3524	2909	3696	1934	3194	13803	9038	6006	18050	15883	34646	22409	35421	78049	66404	178630	480559	0
FFQ	38	0	0	0	0	0	13	165	363	1008	1629	24	49	190	258	297	1580	1087	190	933	870	348	900	764	2042	4535	3321	2974	3909	2144	3291	13484	9353	6319	18696	15588	36145	22369	36529	78631	66676	178119	475696	0
FFQ	39	0	0	0	0	0	19	175	419	1028	1596	33	58	185	316	328	1630	895	221	939	855	376	913	755	2094	4421	3082	3146	3889	2508	3495	13508	9356	6522	19318	15737	37478	22284	37059	78452	67837	177803	471615	0
FFQ	40	0	0	0	0	0	21	192	446	970	1591	28	68	198	355	419	1694	769	267	1018	863	449	931	926	2293	4505	2867	3285	3929	2603	3521	13162	9583	6750	20105	15755	39001	22721	38643	78545	68380	178016	465341	0
FFQ	41	0	0	0	0	0	23	223	513	1003	1644	27	59	247	438	391	1778	683	265	1037	891	458	996	1021	2516	4658	2562	3567	3960	2938	3431	13253	9964	7131	20993	16015	40476	23330	39272	78947	69176	177645	458539	0
FFQ	42	0	0	0	0	0	32	226	552	991	1554	33	98	230	468	458	1681	520	282	951	945	665	867	1050	2665	4713	2447	3619	3817	3334	3600	12915	10303	7115	21223	15985	41876	24068	40873	78169	68995	179119	453494	0
FFQ	43	0	0	0	0	0	31	257	568	1084	1541	38	98	254	514	493	1660	402	286	926	969	762	960	1142	2824	4817	2208	3822	3881	3735	3802	12684	10532	7525	21882	16862	43370	24787	41785	78012	70264	178896	446131	0
FFQ	44	0	0	0	0	0	38	276	680	1140	1610	28	96	266	614	547	1641	338	337	1062	1010	834	967	1121	3005	4971	2057	4037	3997	4042	4005	12559	10821	8109	22598	17442	45098	26308	42949	78216	71239	176651	438937	0
FFQ	45	0	0	0	0	0	51	266	721	1161	1575	54	98	307	621	613	1674	298	339	987	950	851	958	1283	3318	4757	1802	4211	3991	4607	4268	12128	11231	8271	22906	18266	46992	27123	45127	77899	72955	175567	431241	0
FFQ	46	0	0	18	0	0	47	287	721	1122	1427	59	120	309	732	631	1580	239	356	1043	967	984	969	1411	3288	4953	1497	4477	4090	4863	4257	11938	11635	8461	23549	18945	48050	28312	47130	70398	82798	173431	424202	0
FFQ	47	0	0	81	0	0	43	300	777	1105	1352	61	136	340	804	644	1437	241	416	1084	1090	1049	931	1632	3442	4909	1315	4645	4178	5297	4518	11786	12094	9191	23663	20221	50593	30094	48442	69825	83894	172620	414871	0
FFQ	48	0	0	0	0	0	46	309	810	1150	1219	65	136	368	928	702	1369	206	386	1060	973	1104	1005	1624	3620	4739	1176	4857	4079	5954	4641	11367	12564	9267	23639	21612	53193	31274	50223	69167	86076	170606	407424	0
FFQ	49	0	0	0	0	0	65	290	828	1218	1110	66	159	345	918	699	1143	197	399	1108	977	1287	977	1810	3661	4700	1015	5134	4104	6419	4778	11184	12816	9900	23589	22731	56543	32823	52094	68870	87509	168244	399050	0
FFQ	50	0	0	150	0	0	65	323	903	1201	1080	67	163	380	1007	729	1024	214	431	1192	996	1311	1037	1935	3923	4726	903	5444	4235	6980	5083	10914	13382	10144	23790	24346	59484	34472	53918	68421	89843	166368	387981	0
FFQ	51	0	0	0	0	0	58	343	970	1366	1044	80	208	453	1055	788	988	233	494	1259	1012	1439	1045	2094	3975	4458	878	5774	4155	7621	5265	10833	14105	10674	23924	26035	62990	36478	55976	68156	92201	163008	376931	0
FFQ	52	0	0	0	0	0	67	339	1027	1359	888	77	216	402	1150	802	863	196	479	1336	1034	1483	1174	2236	4308	3235	2000	6086	4110	8141	5556	10649	14469	11260	23992	27904	67236	38206	56243	68849	94150	160868	365768	0
FFQ	53	0	0	0	0	0	65	390	1021	1547	866	108	244	407	1257	798	691	236	517	1429	1083	1655	1191	2486	4436	3067	1989	6453	4066	8755	6005	10260	15390	11849	24344	29976	71181	40186	58627	68748	95982	157438	353197	0
FFQ	54	0	0	0	0	0	65	373	1031	1448	709	97	220	395	1366	786	625	190	551	1416	1037	1700	1195	2476	4500	2740	1962	6792	3976	9185	6081	9898	15663	12390	24639	31680	76039	42249	60818	66961	98973	153576	343910	0
FFQ	55	0	0	0	0	0	69	365	1104	1585	633	108	266	393	1326	784	578	208	498	1474	1052	1809	1249	2826	4478	2626	2091	7012	4085	9702	6464	9817	16564	13127	24643	33890	81003	44555	63243	66159	100578	148440	332658	0
FFQ	56	0	0	0	0	0	71	382	1130	1785	588	116	284	386	1595	728	535	210	562	1586	1056	1742	1163	3319	4238	2356	2086	7874	4078	10115	6766	9815	17153	13533	24788	35764	86622	46888	65875	65631	101818	144208	320339	0
FFQ	57	0	0	0	0	0	93	391	1227	1843	480	96	274	377	1624	759	454	238	562	1743	1036	1889	1268	3441	4411	2142	2111	8552	4044	10493	7250	9952	17771	14133	25161	37954	91964	49181	68372	64892	104212	139828	306659	0
FFQ	58	0	0	0	0	0	82	389	1253	1888	382	149	339	400	1613	727	438	183	574	1693	973	1970	1261	3695	4253	1984	2179	8825	3959	11178	7545	9912	18457	14780	25110	40291	99165	51829	70961	62733	106704	135109	293615	0
FFQ	59	0	0	0	0	0	108	414	1316	2108	310	133	348	388	1623	649	384	205	594	1903	959	2091	1352	3886	4158	1856	2274	9274	3949	11349	7992	10125	19070	15733	25975	42039	105750	54646	73481	61264	109633	130288	278677	0
FFQ	60	0	0	0	0	0	105	366	1356	2039	238	173	352	419	1726	643	358	200	595	2009	866	2207	1388	4134	4028	1802	2456	9613	3919	11440	8350	10292	19450	16270	26162	44500	113630	57426	76334	59730	111676	124621	265120	0
FFQ	61	0	0	0	0	0	127	364	1480	2135	188	192	383	422	1881	604	413	202	672	2053	956	2321	1434	4257	4033	1763	2575	10224	3965	11739	9013	10642	20700	16902	26616	47235	120973	60853	78746	58041	114184	118773	248619	0
FFQ	62	0	0	0	0	0	108	415	1428	2080	116	207	416	395	1742	567	326	248	700	1757	1186	2381	1480	4172	4154	1764	2651	10452	3387	11599	10053	10998	21011	17911	27369	49705	129637	63999	81447	56016	117183	112682	233613	0
FFQ	63	0	0	0	0	0	139	335	1496	1952	67	234	437	412	1790	523	371	246	706	1911	1149	2543	1487	4326	3961	1799	2768	10977	3390	11638	10455	11490	21622	18862	28052	51832	138731	67261	84464	54263	119374	106483	217462	0
FFQ	64	0	0	0	0	0	162	327	1590	2083	51	239	428	408	1744	479	387	268	723	1993	1164	2645	1539	4414	3805	1801	3017	11370	3284	11399	11203	12152	22425	19371	28759	54703	147841	70745	87188	52004	121282	99545	202152	0
FFQ	65	0	0	0	0	0	167	338	1674	2211	25	258	527	409	1872	424	413	255	768	2073	1316	2799	1585	4628	3779	1862	3244	11780	3390	11397	11792	12775	22665	20463	29928	57288	157573	73714	90111	49951	122297	92831	185723	0
FFQ	66	0	0	22	0	0	155	345	1728	1940	16	266	496	391	1800	393	439	252	793	2081	1146	2966	1598	4796	3666	1800	3277	11957	3485	11092	12057	13413	23468	20652	30909	60300	168526	77316	93284	46291	124279	85804	170732	0
FFQ	67	0	0	0	0	0	165	346	1841	2011	9	285	551	396	1786	387	442	278	838	2247	1201	3242	1680	4379	2999	2937	3526	12579	3623	10880	12942	14111	23594	21818	31857	63448	178647	80371	96238	44387	124538	78703	154251	0
FFQ	68	0	0	0	0	0	173	370	1993	2004	4	320	566	424	1726	333	419	292	817	2244	1158	3176	1619	4487	2905	3049	3634	12883	3616	10320	13715	14976	24464	22349	33486	66133	189717	84283	99162	41237	124785	71193	139061	0
FFQ	69	0	0	0	0	0	195	344	2083	2050	6	354	599	451	1758	321	462	282	851	2440	1216	3355	1729	4611	2944	3208	3949	13521	3778	10068	14639	15689	24423	23052	34895	69471	201374	86907	101827	38599	123636	63940	123620	0
FFQ	70	0	0	33	0	0	197	325	2186	1809	0	374	602	437	1736	290	498	274	897	2507	1178	3581	1681	4380	2811	3332	4101	13497	3822	9807	15081	16427	25113	23833	36233	73022	213620	90109	104259	35376	122841	57131	108786	0
FFQ	71	0	0	13	0	0	218	331	2238	1858	0	412	666	405	1724	261	537	307	903	2652	1187	3685	1717	4307	2818	3456	4406	14045	4046	9185	15917	17135	25385	24580	37741	75669	225681	93676	106851	31989	121109	49993	94642	0
FFQ	72	0	0	2	0	0	239	304	2429	1794	2	406	686	441	1604	266	572	332	950	2862	1201	3871	1834	4315	2916	3576	4747	13249	5520	9030	16692	17552	25618	25350	39586	79596	237918	96840	108467	29369	116858	43471	80826	0
FFQ	73	0	0	0	0	0	218	314	2378	1598	0	475	680	446	1619	259	609	314	1021	2796	1213	4141	1849	4020	2893	3891	4910	13194	5770	8545	17391	18191	26068	25961	41139	83700	250664	99512	110185	26279	113224	36721	68591	0
FFQ	74	0	0	66	0	0	270	293	2452	1614	2	481	708	416	1535	236	616	293	1061	2848	1249	4177	1728	3937	2905	3977	5151	13289	6061	8042	18189	18753	26646	26658	43122	87235	263308	102334	110926	23638	107977	31370	56697	0
FFQ	75	0	0	0	0	0	272	313	2656	1497	0	516	732	449	1461	218	656	316	1072	2980	1200	4393	1785	3691	3014	4115	5416	13344	6396	7580	18758	19181	26790	27627	44484	90863	277139	104622	111539	20684	102118	25392	46441	0
FFQ	76	0	0	0	0	0	312	286	2638	1352	0	539	719	476	1319	210	680	309	1109	2959	1252	4669	1894	3431	3082	4193	5543	13188	6741	6890	19495	19252	27492	28064	45908	95021	291239	106718	111182	17819	95538	20624	36980	0
FFQ	77	0	0	0	0	0	308	243	2724	1299	0	559	718	491	1255	228	759	329	1080	3159	1316	4614	1829	3144	3095	4411	6124	13337	6929	6313	20226	19591	27990	28923	47449	99295	304349	108067	110054	15355	87833	16203	28903	0
FFQ	78	0	0	1	0	0	313	261	2881	1192	0	594	744	520	1155	185	769	334	1192	3140	1402	4787	1778	3005	3219	4591	6376	13440	7382	5914	21118	19929	28388	29309	49123	103657	317626	109216	107606	13126	79416	12201	21989	0
FFQ	79	0	0	4	0	0	334	259	2963	1128	0	607	733	524	1135	189	865	321	1249	3345	1450	4972	1816	2764	3369	4859	6904	13400	7823	5633	21867	20382	29633	30178	50326	108006	329746	110339	103786	10911	70299	9143	15869	0
FFQ	80	0	0	19	0	0	337	237	3086	1010	2	691	795	595	1064	192	857	352	1284	3340	1473	5374	1843	2552	3438	5075	7296	13520	8079	5205	22458	20540	30177	30940	51743	112554	342502	110044	99820	9015	60926	6498	11412	0
FFQ	81	0	0	1	0	0	377	205	3071	982	0	706	775	569	953	153	896	339	1257	3394	1540	5551	1834	2223	3605	5112	7633	13466	8409	4851	23315	20605	31325	31602	53020	116945	355348	109449	94297	7177	52062	4622	7767	0
FFQ	82	0	0	1	0	0	291	204	2849	805	0	678	642	497	792	147	771	308	1209	3068	1458	5303	1570	1894	3433	5041	7403	12521	8599	4235	23102	20237	30741	32070	53673	120598	373782	110210	88992	5612	43603	3160	4981	0
FFQ	83	0	0	2	0	0	270	169	2710	649	0	648	657	485	735	139	797	327	1183	3086	1505	5262	1504	1641	3422	5061	7521	11916	8576	4029	22923	19868	30518	31877	53492	121896	392457	110357	82771	4256	35464	2004	3207	0
FFQ	84	0	0	0	0	0	255	158	2653	562	0	623	659	483	635	134	770	314	1180	3163	1614	5306	1537	1483	3434	5203	7769	11618	9056	3715	23325	19802	30622	32126	53842	123700	406942	109270	75703	3232	27913	1228	2042	0
FFQ	85	0	0	0	0	0	225	113	2530	531	0	679	644	509	538	132	807	313	1184	3110	1567	5350	1439	1311	3670	5151	8294	11364	9199	3380	23602	19635	31099	32832	54545	126612	419676	107272	67848	2446	20844	688	1245	0
FFQ	86	0	0	0	0	0	182	106	2336	410	0	583	539	418	496	100	755	288	1196	3149	1648	5465	1320	1160	3837	5459	8849	10842	9417	3092	24643	19808	31750	33180	55354	130208	429995	103868	59324	1696	15335	414	692	0
FFQ	87	0	0	0	0	0	56	44	1542	276	0	459	381	300	374	75	539	271	1014	2587	1459	5330	1239	1021	3910	5541	9192	10589	10034	2861	25265	20106	32395	34024	55772	134350	439216	99526	50840	1244	10815	229	367	0
FFQ	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4174	1164	873	3994	5730	9563	9937	10300	2662	25255	19906	32692	34281	56924	136770	449983	96186	43324	814	7361	116	234	0
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
LFQ	1	0	0	0	0	0	0	0	702	0	0	4024	0	411	0	0	0	1597	4282	186	14430	275	0	1393	393	262	3353	4086	3755	47326	205	10193	1292	179419	36601	0	136942	0	541048	0	0	0	0	0
LFQ	2	0	0	0	0	0	0	0	599	0	0	3871	0	338	0	0	0	1819	2444	268	4368	378	0	1656	408	306	4125	4473	3305	12744	250	12776	1286	34534	50287	0	315403	0	536275	0	0	0	0	0
LFQ	3	0	0	0	0	0	0	1	198	952	0	2322	603	67	211	20	659	543	3562	950	846	96	287	1026	1670	246	3924	4560	2780	6554	2856	13091	4681	24396	26964	0	248833	45608	593178	0	0	0	0	0
LFQ	4	0	0	0	0	0	0	1	229	817	0	2280	548	54	206	20	537	512	3207	932	826	105	311	1047	1504	226	3677	4445	2755	5363	2871	12659	3748	22627	24080	2	187565	22308	686009	0	0	0	0	0
LFQ	5	0	0	0	0	0	1	4	187	750	0	2064	518	55	177	13	504	471	2943	914	809	100	328	1055	1621	232	3736	4380	3029	4754	3044	12430	3481	22290	22936	1	173655	17778	707009	0	0	0	0	0
LFQ	6	0	0	0	0	0	1	5	198	798	0	2091	550	35	154	14	473	534	2809	965	839	73	287	1105	1572	211	3622	1894	5965	4213	3048	12229	2839	17154	16643	11884	54780	46	96206	54597	693221	0	0	0
LFQ	7	0	0	0	0	0	3	5	165	749	0	2170	509	42	194	13	492	475	2828	974	865	81	264	1079	1599	214	3644	1824	6742	3295	3009	12379	2712	17174	16513	11666	54472	67	96071	56353	692226	0	0	0
LFQ	8	0	0	0	0	0	1	2	172	747	1	2188	547	43	159	16	443	461	2638	949	807	73	303	1063	1614	216	3528	1899	7903	2422	3179	12426	2692	17270	16643	11444	54818	60	95963	60505	687512	0	0	0
LFQ	9	0	0	0	0	0	3	4	160	769	4	2251	586	42	139	17	453	498	2629	961	855	90	316	1112	1726	222	3646	1940	8286	1681	3204	12914	2518	17173	16975	10921	55085	77	95341	62860	685053	0	0	0
LFQ	10	0	0	0	0	0	2	7	161	755	10	2211	545	30	138	17	439	526	2745	969	806	102	295	1138	1648	244	3664	1886	8662	1606	3187	12697	2520	17636	17076	11413	55612	97	96942	65137	679405	0	0	0
LFQ	11	0	0	2	0	0	5	5	164	818	12	2225	525	34	154	25	118	778	2715	1038	915	72	328	1078	810	1271	3811	1868	8598	1532	3316	6887	8347	13680	16982	12680	10108	35847	27877	79581	56613	183989	505296	0
LFQ	12	0	0	0	0	0	6	14	152	792	27	2277	521	44	155	17	167	786	2751	1088	890	87	337	1125	806	1240	3710	2003	8667	1499	3217	6970	8300	13851	17607	12755	10359	36133	28068	80644	56598	185751	500507	0
LFQ	13	0	0	113	0	0	7	12	163	881	36	2484	614	54	157	30	158	902	2869	1178	929	101	349	1099	876	1346	3868	1955	8827	1544	3449	7101	8316	13921	18245	12889	10706	36554	28497	82556	57418	188126	491375	0
LFQ	14	0	0	0	0	0	3	15	144	835	53	2314	610	48	142	21	180	856	2954	1124	936	105	345	1134	842	1405	3943	2022	8971	1622	3394	7235	8693	13830	18026	12851	10857	36571	28714	83779	57894	191023	486025	0
LFQ	15	0	0	0	0	0	4	15	148	819	92	2340	592	44	164	30	172	899	2737	1097	942	119	339	1082	890	1489	3902	2016	8658	1568	3443	7572	8728	13802	18148	12896	11276	36721	29040	84286	58272	194467	480504	0
LFQ	16	0	0	0	0	0	7	11	164	838	91	2254	563	42	129	34	213	728	367	3601	1035	136	381	1058	972	1660	3816	2122	8666	1677	3485	7603	8507	13764	11812	19930	11638	30700	30649	70845	68756	203149	477669	0
LFQ	17	0	0	0	0	0	5	30	178	940	149	2410	611	55	127	36	253	851	415	3566	1055	101	396	1077	1040	1681	3973	2177	8780	1656	3567	7839	8767	14033	12251	20368	12065	31537	30855	73193	69866	203843	469139	0
LFQ	18	0	0	0	0	0	14	18	192	967	182	2352	582	52	153	31	302	942	537	3435	1112	117	411	1104	1126	1910	3984	2242	8785	1687	3633	8116	8905	13922	12475	20501	12713	32162	31954	74630	73141	205165	459137	0
LFQ	19	0	0	0	0	0	6	23	158	840	195	1907	480	58	142	33	277	926	643	2661	885	146	389	1014	1071	1811	3495	1976	7737	1666	3167	7888	7938	12936	11421	18581	12205	28690	31680	65801	81075	188582	489959	0
LFQ	20	0	0	6	0	0	9	34	166	844	258	1806	389	49	150	38	331	939	731	2654	904	162	434	983	1087	1901	3318	2006	7406	1719	3050	7992	7784	12444	11316	18194	12758	28177	30697	65573	78155	183517	500247	0
LFQ	21	0	0	8	0	0	14	31	157	862	300	1732	352	47	135	28	372	975	830	2253	885	170	449	1020	1244	2163	3300	1982	7321	1741	3184	8303	7641	12061	11694	17922	13080	28112	29649	66181	71666	170545	519614	0
LFQ	22	0	0	0	0	0	11	27	177	942	389	1579	331	49	144	40	420	1059	933	2073	828	187	485	1018	1246	2347	3189	1999	6976	1744	3187	8700	7951	11984	11916	17566	13555	28244	29165	66152	70255	170437	520517	0
LFQ	23	0	0	1	0	0	8	44	142	976	528	1617	287	55	115	48	450	1208	1035	1817	936	208	541	926	1239	2565	3098	2069	6631	1801	3133	9316	7863	11623	11953	17575	14352	28147	29275	66343	68810	173504	517332	0
LFQ	24	0	0	71	0	0	11	54	148	1102	685	1499	262	54	132	51	538	1264	1112	1581	940	215	519	986	1262	2865	3133	2115	6449	1816	3264	9656	7817	11395	12412	17237	15161	28187	28841	66355	67569	175549	515030	0
